[2025-10-26T06:23:08.887Z] 🧹 SAFE PROJECT CLEANUP SCRIPT
[2025-10-26T06:23:08.888Z] 📁 Backup folder: _cleanup_backup
[2025-10-26T06:23:08.888Z] 📝 Log file: cleanup_log_1761459788880.txt
[2025-10-26T06:23:08.888Z] 🗑️  Files to process: 297

[2025-10-26T06:23:08.890Z] ✅ Created backup folder: _cleanup_backup
[2025-10-26T06:23:08.890Z] 
🔄 Starting cleanup...

[2025-10-26T06:23:08.892Z] 📦 Moved: debug-password-check.js → _cleanup_backup\debug-password-check.js
[2025-10-26T06:23:08.894Z] 📦 Moved: debug-server-error.js → _cleanup_backup\debug-server-error.js
[2025-10-26T06:23:08.896Z] 📦 Moved: debug-subscription-data.js → _cleanup_backup\debug-subscription-data.js
[2025-10-26T06:23:08.901Z] 📦 Moved: debug-subscription-download-flow.js → _cleanup_backup\debug-subscription-download-flow.js
[2025-10-26T06:23:08.902Z] 📦 Moved: debug-user-fetch.js → _cleanup_backup\debug-user-fetch.js
[2025-10-26T06:23:08.903Z] 📦 Moved: check-admin-accounts.js → _cleanup_backup\check-admin-accounts.js
[2025-10-26T06:23:08.904Z] 📦 Moved: check-admin-role.js → _cleanup_backup\check-admin-role.js
[2025-10-26T06:23:08.905Z] 📦 Moved: check-all-admin-users.js → _cleanup_backup\check-all-admin-users.js
[2025-10-26T06:23:08.906Z] 📦 Moved: check-all-user-subscriptions.js → _cleanup_backup\check-all-user-subscriptions.js
[2025-10-26T06:23:08.908Z] 📦 Moved: check-database-schema.js → _cleanup_backup\check-database-schema.js
[2025-10-26T06:23:08.909Z] 📦 Moved: check-ea-file-paths.js → _cleanup_backup\check-ea-file-paths.js
[2025-10-26T06:23:08.910Z] 📦 Moved: check-ea-sources.js → _cleanup_backup\check-ea-sources.js
[2025-10-26T06:23:08.911Z] 📦 Moved: check-image-urls.js → _cleanup_backup\check-image-urls.js
[2025-10-26T06:23:08.912Z] 📦 Moved: check-mock-mode.js → _cleanup_backup\check-mock-mode.js
[2025-10-26T06:23:08.913Z] 📦 Moved: check-subscriptions-in-db.js → _cleanup_backup\check-subscriptions-in-db.js
[2025-10-26T06:23:08.914Z] 📦 Moved: check-test-user.js → _cleanup_backup\check-test-user.js
[2025-10-26T06:23:08.915Z] 📦 Moved: check-user-role.js → _cleanup_backup\check-user-role.js
[2025-10-26T06:23:08.917Z] 📦 Moved: check-user-subscriptions.js → _cleanup_backup\check-user-subscriptions.js
[2025-10-26T06:23:08.918Z] 📦 Moved: inspect-users-accounts.js → _cleanup_backup\inspect-users-accounts.js
[2025-10-26T06:23:08.920Z] 📦 Moved: test-404-fix.js → _cleanup_backup\test-404-fix.js
[2025-10-26T06:23:08.921Z] 📦 Moved: test-admin-cms.js → _cleanup_backup\test-admin-cms.js
[2025-10-26T06:23:08.922Z] 📦 Moved: test-admin-login-fixed.js → _cleanup_backup\test-admin-login-fixed.js
[2025-10-26T06:23:08.946Z] 📦 Moved: test-admin-login-unified.js → _cleanup_backup\test-admin-login-unified.js
[2025-10-26T06:23:08.947Z] 📦 Moved: test-api-database-service.js → _cleanup_backup\test-api-database-service.js
[2025-10-26T06:23:08.948Z] 📦 Moved: test-auth.js → _cleanup_backup\test-auth.js
[2025-10-26T06:23:08.948Z] 📦 Moved: test-authentication.js → _cleanup_backup\test-authentication.js
[2025-10-26T06:23:08.950Z] 📦 Moved: test-complete-download-flow.js → _cleanup_backup\test-complete-download-flow.js
[2025-10-26T06:23:08.951Z] 📦 Moved: test-complete-flow.js → _cleanup_backup\test-complete-flow.js
[2025-10-26T06:23:08.952Z] 📦 Moved: test-complete-subscription-auto-download-flow.js → _cleanup_backup\test-complete-subscription-auto-download-flow.js
[2025-10-26T06:23:08.954Z] 📦 Moved: test-comprehensive-apis.js → _cleanup_backup\test-comprehensive-apis.js
[2025-10-26T06:23:08.954Z] ⏭️  Skipped (not found): test-crypto-payment.js
[2025-10-26T06:23:08.954Z] ⏭️  Skipped (not found): test-database-connection.js
[2025-10-26T06:23:08.955Z] 📦 Moved: test-download-after-payment.js → _cleanup_backup\test-download-after-payment.js
[2025-10-26T06:23:08.956Z] ⏭️  Skipped (not found): test-ea-creation.js
[2025-10-26T06:23:08.956Z] ⏭️  Skipped (not found): test-environment.js
[2025-10-26T06:23:08.956Z] ⏭️  Skipped (not found): test-health.js
[2025-10-26T06:23:08.956Z] ⏭️  Skipped (not found): test-mock-auth.js
[2025-10-26T06:23:08.957Z] ⏭️  Skipped (not found): test-payment-flow.js
[2025-10-26T06:23:08.957Z] ⏭️  Skipped (not found): test-supabase-connection.js
[2025-10-26T06:23:08.957Z] ⏭️  Skipped (not found): test-users-flow.js
[2025-10-26T06:23:08.958Z] 📦 Moved: simple-test.js → _cleanup_backup\simple-test.js
[2025-10-26T06:23:08.959Z] 📦 Moved: simple-auth-test.js → _cleanup_backup\simple-auth-test.js
[2025-10-26T06:23:08.960Z] 📦 Moved: test-actual-image.html → _cleanup_backup\test-actual-image.html
[2025-10-26T06:23:08.961Z] ⏭️  Skipped (not found): test-comprehensive-apis.html
[2025-10-26T06:23:08.962Z] 📦 Moved: test-download-flow-simple.html → _cleanup_backup\test-download-flow-simple.html
[2025-10-26T06:23:08.963Z] 📦 Moved: test-image-display.html → _cleanup_backup\test-image-display.html
[2025-10-26T06:23:08.964Z] 📦 Moved: test-image-loading.html → _cleanup_backup\test-image-loading.html
[2025-10-26T06:23:08.966Z] 📦 Moved: test-subscription-download-flow.html → _cleanup_backup\test-subscription-download-flow.html
[2025-10-26T06:23:08.967Z] 📦 Moved: demo-download-flow-visual.html → _cleanup_backup\demo-download-flow-visual.html
[2025-10-26T06:23:08.968Z] 📦 Moved: fix-admin-complete.js → _cleanup_backup\fix-admin-complete.js
[2025-10-26T06:23:08.969Z] 📦 Moved: fix-admin-dashboard.js → _cleanup_backup\fix-admin-dashboard.js
[2025-10-26T06:23:08.970Z] 📦 Moved: fix-admin-login.js → _cleanup_backup\fix-admin-login.js
[2025-10-26T06:23:08.971Z] 📦 Moved: fix-all-admin-issues.js → _cleanup_backup\fix-all-admin-issues.js
[2025-10-26T06:23:08.972Z] 📦 Moved: fix-complete-subscription-download-flow.js → _cleanup_backup\fix-complete-subscription-download-flow.js
[2025-10-26T06:23:08.974Z] 📦 Moved: fix-database-screenshots.js → _cleanup_backup\fix-database-screenshots.js
[2025-10-26T06:23:08.977Z] 📦 Moved: fix-ea-file-paths-production.js → _cleanup_backup\fix-ea-file-paths-production.js
[2025-10-26T06:23:08.981Z] 📦 Moved: fix-ea-file-paths.js → _cleanup_backup\fix-ea-file-paths.js
[2025-10-26T06:23:08.982Z] 📦 Moved: fix-ea-files-bucket.js → _cleanup_backup\fix-ea-files-bucket.js
[2025-10-26T06:23:08.983Z] 📦 Moved: fix-ea-update-localStorage-bug.js → _cleanup_backup\fix-ea-update-localStorage-bug.js
[2025-10-26T06:23:08.985Z] 📦 Moved: fix-ea5-file-paths.js → _cleanup_backup\fix-ea5-file-paths.js
[2025-10-26T06:23:08.987Z] 📦 Moved: fix-everything-now.js → _cleanup_backup\fix-everything-now.js
[2025-10-26T06:23:08.988Z] 📦 Moved: fix-frontend-serving.js → _cleanup_backup\fix-frontend-serving.js
[2025-10-26T06:23:08.989Z] 📦 Moved: fix-healthcheck.js → _cleanup_backup\fix-healthcheck.js
[2025-10-26T06:23:08.990Z] 📦 Moved: fix-image-display-complete.js → _cleanup_backup\fix-image-display-complete.js
[2025-10-26T06:23:08.991Z] 📦 Moved: fix-image-display-immediate.js → _cleanup_backup\fix-image-display-immediate.js
[2025-10-26T06:23:08.993Z] 📦 Moved: fix-image-display.js → _cleanup_backup\fix-image-display.js
[2025-10-26T06:23:08.995Z] 📦 Moved: fix-images-and-admin-now.js → _cleanup_backup\fix-images-and-admin-now.js
[2025-10-26T06:23:08.997Z] 📦 Moved: fix-images-now.js → _cleanup_backup\fix-images-now.js
[2025-10-26T06:23:08.999Z] 📦 Moved: fix-package-dependencies.js → _cleanup_backup\fix-package-dependencies.js
[2025-10-26T06:23:09.000Z] 📦 Moved: fix-railway-issues.js → _cleanup_backup\fix-railway-issues.js
[2025-10-26T06:23:09.003Z] 📦 Moved: fix-railway-startup.js → _cleanup_backup\fix-railway-startup.js
[2025-10-26T06:23:09.005Z] 📦 Moved: fix-rate-limiting-complete.js → _cleanup_backup\fix-rate-limiting-complete.js
[2025-10-26T06:23:09.011Z] 📦 Moved: fix-subscription-dates.js → _cleanup_backup\fix-subscription-dates.js
[2025-10-26T06:23:09.013Z] 📦 Moved: aggressive-cleanup.js → _cleanup_backup\aggressive-cleanup.js
[2025-10-26T06:23:09.014Z] 📦 Moved: auto-cleanup.js → _cleanup_backup\auto-cleanup.js
[2025-10-26T06:23:09.019Z] 📦 Moved: auto-fix-ea-files-bucket.js → _cleanup_backup\auto-fix-ea-files-bucket.js
[2025-10-26T06:23:09.021Z] 📦 Moved: cleanup-screenshots.js → _cleanup_backup\cleanup-screenshots.js
[2025-10-26T06:23:09.022Z] 📦 Moved: clear-cache-and-restart.js → _cleanup_backup\clear-cache-and-restart.js
[2025-10-26T06:23:09.023Z] 📦 Moved: complete-site-fix.js → _cleanup_backup\complete-site-fix.js
[2025-10-26T06:23:09.025Z] 📦 Moved: complete-subscription-download-fix.js → _cleanup_backup\complete-subscription-download-fix.js
[2025-10-26T06:23:09.027Z] 📦 Moved: comprehensive-fix.js → _cleanup_backup\comprehensive-fix.js
[2025-10-26T06:23:09.028Z] 📦 Moved: ensure-upload-dirs.js → _cleanup_backup\ensure-upload-dirs.js
[2025-10-26T06:23:09.029Z] 📦 Moved: final-admin-setup.js → _cleanup_backup\final-admin-setup.js
[2025-10-26T06:23:09.030Z] 📦 Moved: final-subscription-download-fix.js → _cleanup_backup\final-subscription-download-fix.js
[2025-10-26T06:23:09.032Z] 📦 Moved: quick-improvements.js → _cleanup_backup\quick-improvements.js
[2025-10-26T06:23:09.033Z] 📦 Moved: simple-download-fix.js → _cleanup_backup\simple-download-fix.js
[2025-10-26T06:23:09.035Z] 📦 Moved: step-by-step-fix.js → _cleanup_backup\step-by-step-fix.js
[2025-10-26T06:23:09.038Z] 📦 Moved: setup-admin-panel.js → _cleanup_backup\setup-admin-panel.js
[2025-10-26T06:23:09.041Z] 📦 Moved: setup-admin.js → _cleanup_backup\setup-admin.js
[2025-10-26T06:23:09.042Z] 📦 Moved: setup-auth.js → _cleanup_backup\setup-auth.js
[2025-10-26T06:23:09.044Z] 📦 Moved: setup-crypto-payments.js → _cleanup_backup\setup-crypto-payments.js
[2025-10-26T06:23:09.045Z] 📦 Moved: setup-production-admin.js → _cleanup_backup\setup-production-admin.js
[2025-10-26T06:23:09.047Z] 📦 Moved: setup-railway-admin.js → _cleanup_backup\setup-railway-admin.js
[2025-10-26T06:23:09.050Z] 📦 Moved: setup-utilities-sync.js → _cleanup_backup\setup-utilities-sync.js
[2025-10-26T06:23:09.053Z] 📦 Moved: setup-wallet-addresses.js → _cleanup_backup\setup-wallet-addresses.js
[2025-10-26T06:23:09.055Z] 📦 Moved: deploy-complete-fix.bat → _cleanup_backup\deploy-complete-fix.bat
[2025-10-26T06:23:09.056Z] 📦 Moved: deploy-complete-fix.ps1 → _cleanup_backup\deploy-complete-fix.ps1
[2025-10-26T06:23:09.057Z] 📦 Moved: deploy-complete-fixes.js → _cleanup_backup\deploy-complete-fixes.js
[2025-10-26T06:23:09.060Z] 📦 Moved: deploy-fixes.js → _cleanup_backup\deploy-fixes.js
[2025-10-26T06:23:09.063Z] 📦 Moved: deploy-subscription-fixes.js → _cleanup_backup\deploy-subscription-fixes.js
[2025-10-26T06:23:09.090Z] 📦 Moved: deploy.bat → _cleanup_backup\deploy.bat
[2025-10-26T06:23:09.092Z] 📦 Moved: deploy.ps1 → _cleanup_backup\deploy.ps1
[2025-10-26T06:23:09.093Z] 📦 Moved: deploy-health-fix.bat → _cleanup_backup\deploy-health-fix.bat
[2025-10-26T06:23:09.094Z] 📦 Moved: deploy-health-fix.ps1 → _cleanup_backup\deploy-health-fix.ps1
[2025-10-26T06:23:09.095Z] 📦 Moved: force-railway-minimal.js → _cleanup_backup\force-railway-minimal.js
[2025-10-26T06:23:09.096Z] 📦 Moved: force-railway-redeploy.bat → _cleanup_backup\force-railway-redeploy.bat
[2025-10-26T06:23:09.097Z] 📦 Moved: force-restart.bat → _cleanup_backup\force-restart.bat
[2025-10-26T06:23:09.098Z] 📦 Moved: force-ultra-minimal.js → _cleanup_backup\force-ultra-minimal.js
[2025-10-26T06:23:09.103Z] 📦 Moved: railway-build-and-serve.js → _cleanup_backup\railway-build-and-serve.js
[2025-10-26T06:23:09.107Z] 📦 Moved: railway-deploy-fix.js → _cleanup_backup\railway-deploy-fix.js
[2025-10-26T06:23:09.110Z] 📦 Moved: railway-start.js → _cleanup_backup\railway-start.js
[2025-10-26T06:23:09.111Z] 📦 Moved: railway-full-server-backup.js → _cleanup_backup\railway-full-server-backup.js
[2025-10-26T06:23:09.112Z] 📦 Moved: railway-full-server-simple.js → _cleanup_backup\railway-full-server-simple.js
[2025-10-26T06:23:09.113Z] 📦 Moved: server-minimal.js → _cleanup_backup\server-minimal.js
[2025-10-26T06:23:09.114Z] 📦 Moved: package-corrected.json → _cleanup_backup\package-corrected.json
[2025-10-26T06:23:09.115Z] 📦 Moved: package-minimal.json → _cleanup_backup\package-minimal.json
[2025-10-26T06:23:09.120Z] 📦 Moved: package-optimized.json → _cleanup_backup\package-optimized.json
[2025-10-26T06:23:09.123Z] 📦 Moved: package-ultra-minimal.json → _cleanup_backup\package-ultra-minimal.json
[2025-10-26T06:23:09.125Z] 📦 Moved: routes/users.js.bak → _cleanup_backup\users.js.bak
